Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",4,4.23,Ballantine Books,Hardcover,384,2022,2022,,2023/08/10,,,read,,,,1,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",5,4.08,Penguin Press,Hardcover,338,2017,2017,,2023/08/28,,,read,,,,1,0
123179008,"Done and Dusted (Rebel Blue Ranch, #1)",Lyla Sage,"Sage, Lyla",,"=""""","=""9798987781302""",0,4.03,Lyla Sage,Kindle Edition,348,2023,2023,,2023/08/18,to-read,to-read (#129),to-read,,,,0,0
61796659,Strip Tees: A Memoir of Millennial Los Angeles,Kate Flannery,"Flannery, Kate",,"=""1250827280""","=""9781250827289""",0,3.86,Henry Holt and Co.,Hardcover,240,2023,2023,,2023/08/10,to-read,to-read (#128),to-read,,,,0,0
54785501,Last Summer in the City,Gianfranco Calligarich,"Calligarich, Gianfranco","André Aciman, Howard Curtis","=""0374600155""","=""9780374600150""",0,3.68,"Farrar, Straus and Giroux",Hardcover,192,2021,1970,,2023/08/09,to-read,to-read (#127),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.72,Picador,Paperback,213,2019,2015,,2023/08/09,to-read,to-read (#126),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,3.96,Harper Press,Paperback,273,2005,-400,,2023/08/07,to-read,to-read (#125),to-read,,,,0,0
61182699,The Battle for Your Brain: Defending the Right to Think Freely in the Age of Neurotechnology,Nita A. Farahany,"Farahany, Nita A.",,"=""""","=""""",0,3.98,St. Martin's Press,Kindle Edition,275,2023,2023,,2023/08/05,to-read,to-read (#124),to-read,,,,0,0
49893490,"Wild Game: My Mother, Her Lover and Me",Adrienne Brodeur,"Brodeur, Adrienne",,"=""""","=""""",0,3.98,Vintage Digital,Kindle Edition,256,2020,2019,,2023/08/03,to-read,to-read (#123),to-read,,,,0,0
60371805,Shrines of Gaiety,Kate Atkinson,"Atkinson, Kate",,"=""0385547978""","=""9780385547970""",0,3.88,Doubleday,Hardcover,416,2022,2022,,2023/07/21,to-read,to-read (#122),to-read,,,,0,0
60353768,The Marriage Portrait,Maggie O'Farrell,"O'Farrell, Maggie",,"=""""","=""""",0,4.04,Knopf Publishing Group,Hardcover,355,2022,2022,,2023/07/21,to-read,to-read (#121),to-read,,,,0,0
15957,The Patron Saint of Liars,Ann Patchett,"Patchett, Ann",,"=""1841150509""","=""9781841150505""",0,3.86,Fourth Estate Ltd,Paperback,352,2003,1992,,2023/07/10,to-read,to-read (#120),to-read,,,,0,0
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",0,4.10,Harper,Hardcover,337,2019,2019,,2023/07/10,to-read,to-read (#119),to-read,,,,0,0
3398625,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,"Grann, David",,"=""0385513534""","=""9780385513531""",0,3.87,Doubleday/Random House (NY),Hardcover,339,2009,2009,,2023/07/10,to-read,to-read (#118),to-read,,,,0,0
43317482,In the Dream House,Carmen Maria Machado,"Machado, Carmen Maria",,"=""1644450038""","=""9781644450031""",0,4.45,Graywolf Press,Hardcover,251,2019,2019,,2023/07/09,to-read,to-read (#117),to-read,,,,0,0
84943172,"The Right Move (Windy City, #2)",Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",0,4.48,Golden Boy Publishing LLC,Kindle Edition,417,2023,2023,,2023/07/05,to-read,to-read (#116),to-read,,,,0,0
9566,Still Life with Woodpecker,Tom Robbins,"Robbins, Tom",,"=""184243022X""","=""9781842430224""",0,4.03,No Exit Press,Paperback,277,2001,1980,,2023/07/01,to-read,to-read (#115),to-read,,,,0,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",5,4.06,Atria Books,Hardcover,359,2018,2017,2023/06/28,2023/06/28,,,read,,,,1,0
15802675,"The Hormone Cure: Reclaim Balance, Sleep, Sex Drive and Vitality Naturally with the Gottfried Protocol",Sara Gottfried,"Gottfried, Sara",,"=""1451666969""","=""9781451666960""",0,3.96,Scribner,ebook,432,2013,2013,,2023/06/26,to-read,to-read (#114),to-read,,,,0,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",0,4.21,Little Brown Books,Paperback,389,2023,2023,,2023/06/24,to-read,to-read (#113),to-read,,,,0,0
60321411,"Deliberate Cruelty: Truman Capote, the Millionaire's Wife, and the Murder of the Century",Roseanne Montillo,"Montillo, Roseanne",,"=""1982153733""","=""9781982153731""",0,3.64,Atria Books,Hardcover,320,2022,2022,,2023/06/24,to-read,to-read (#112),to-read,,,,0,0
57005206,"Capote's Women: A True Story of Love, Betrayal, and a Swan Song for an Era",Laurence Leamer,"Leamer, Laurence",,"=""0593328086""","=""9780593328088""",0,3.88,G.P. Putnam's Sons,Hardcover,368,2021,2021,,2023/06/24,to-read,to-read (#111),to-read,,,,0,0
403653,Frost/Nixon,Peter Morgan,"Morgan, Peter",,"=""0571235417""","=""9780571235414""",0,4.04,"Farrar, Straus and Giroux",Paperback,82,2007,2007,,2023/06/18,to-read,to-read (#110),to-read,,,,0,0
58989767,The Polish Girl,Malka Adler,"Adler, Malka",,"=""0008525307""","=""9780008525309""",0,3.16,One More Chapter,Hardcover,416,2022,2011,,2023/06/17,to-read,to-read (#109),to-read,,,,0,0
62952152,My Murder,Katie Williams,"Williams, Katie",,"=""0593543769""","=""9780593543764""",0,3.71,Riverhead Books,Hardcover,304,2023,2023,,2023/06/11,to-read,to-read (#108),to-read,,,,0,0
16271,The Intuitionist,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,3.64,Anchor Books ,Paperback,255,1999,1999,,2023/06/09,to-read,to-read (#107),to-read,,,,0,0
16275,The Colossus of New York,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,3.72,Anchor,Paperback,158,2004,2003,,2023/06/07,to-read,to-read (#106),to-read,,,,0,0
60784732,"Women We Buried, Women We Burned: A Memoir",Rachel Louise Snyder,"Snyder, Rachel Louise",,"=""1635579120""","=""9781635579123""",0,4.06,Bloomsbury Publishing,Hardcover,272,2023,2023,,2023/05/28,to-read,to-read (#105),to-read,,,,0,0
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",4,3.98,St. Martin's Press,Hardcover,293,2016,2016,,2023/05/25,,,read,,,,1,0
18812405,The Good Girl (English Edition),Mary Kubica,"Kubica, Mary",,"=""0778316556""","=""9780778316558""",2,3.82,MIRA,Hardcover,352,2014,2014,2023/05/22,2023/05/18,,,read,,,,1,0
43352954,This is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.94,Saga Press,Kindle Edition,209,2019,2019,,2023/05/21,to-read,to-read (#104),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",0,4.20,Bloomsbury Publishing,Paperback,419,2020,2015,,2023/05/18,to-read,to-read (#103),to-read,,,,0,0
