,titleleft,authors,isbn13left,synopsis
0,WITCH AND WIZARD,"['Patterson, James', 'Charbonnet, Gabrielle']",9780316036245,"<p><p>everything. Changes. Now.<p>imagine You Wake Up And The World Around You-life As You Know It-has Changed In An Instant. That's What Has Happened To Whit Allgood And His Sister, Whisty. They Went To Sleep As Normal Teenagers, And Woke Up As Wanted Criminals. Accused Of Holding Incredible Powers They'd Never Dreamed Possible. And Now, Just How Different They Are-special, Even-if Just Beginning To Be Revealed In A Strange New World.<p>it Begins...now.</p><h3>publishers Weekly</h3><p>patterson (the Maximum Ride Books) And Charbonnet Launch A New Series About Political And Cultural Oppression, Which Suffers From Some Questionable Storytelling Choices. Ordinary Teenagers Whit And Wisty Are Taken From Their House By Representatives Of The Oppressive &ldquo;new Order.&rdquo; Accused Of Being A Wizard And A Witch, They're Thrown In A Dank Prison To Await Execution. While There They Begin To Master Previously Unknown Powers And, Thanks To Some Otherworldly Help, They Manage To Escape And Are United With The Resistance Movement. The Authors Rely On Coincidence And Plot Holes&mdash;each Teen Is Allowed To Bring One Possession Into The Otherwise Barbaric Jail, And Thus End Up With Magical Implements. The Story Is Further Undercut By Frequent Recapping And Short Chapters, Alternately Narrated By The Siblings, Which Break Up The Narrative For No Perceivable Reason. There's Some Fun World-building, Including A Stream Of Thinly Disguised Pop Culture References In Wisty And Whit's Alternate World (from The Books Of Gary Blotter To The Artist Margie O'greeffe), But Even These Are Inconsistent (their World Also Includes Red Bull And The Adjective Dickensian) And Come Across As Groaners. Ages 10-up. (dec.)</p>"
1,THE HUNGER GAMES,"['Collins, Suzanne']",9780439023481,"In A Future North America, Where The Rulers Of Panem Maintain Control Through An Annual Televised Survival Competition Pitting Young People From Each Of The Twelve Districts Against One Another, Sixteen-year-old Katniss's Skills Are Put To The Test When She Voluntarily Takes Her Younger Sister's Place."
2,CATCHING FIRE,"['Collins, Suzanne']",9780439023498,"By Winning The Annual Hunger Games, District 12 Tributes Katniss Everdeen And Peeta Mellark Have Secured A Life Of Safety And Plenty For Themselves And Their Families, But Because They Won By Defying The Rules, They Unwittingly Become The Faces Of An Impending Rebellion."
3,THE MAGICIAN’S ELEPHANT,"['DiCamillo, Kate']",9780763644109,"When Ten-year-old Orphan Peter Augustus Duchene Encounters A Fortune Teller In The Marketplace One Day And She Tells Him That His Sister, Who Is Presumed Dead, Is In Fact Alive, He Embarks On A Remarkable Series Of Adventures As He Desperately Tries To Find Her. Kate Dicamillo ; Illustrated By Yoko Tanaka."
4,FALLEN,"['Kate, Lauren']",9780385738934,"<p><p>there's Something Achingly Familiar About Daniel Grigori.<p>mysterious And Aloof, He Captures Luce Price's Attention From The Moment She Sees Him On Her First Day At The Sword & Cross Boarding School In Sultry Savannah, Georgia. He's The One Bright Spot In A Place Where Cell Phones Are Forbidden, The Other Students Are All Screw-ups, And Security Cameras Watch Every Move.<p>even Though Daniel Wants Nothing To Do With Luce&#151;and Goes Out Of His Way To Make That Very Clear&#151;she Can't Let It Go. Drawn To Him Like A Moth To A Flame, She Has To Find Out What Daniel Is So Desperate To Keep Secret . . . Even If It Kills Her.<p>dangerously Exciting And Darkly Romantic, <i>fallen </i>is A Page Turning Thriller And The Ultimate Love Story.</p><h3>publishers Weekly</h3><p>beautiful Lucinda (luce) Price Is Banished From Everything She Knows After A Mysterious Fire Leaves Her Friend Trevor Dead And Luce Shouldering The Blame. She Is Forced To Board At A Decrepit Reform School Where Students Are Under The Constant Watch Of Cameras And Must Go Without Cellphones Or Internet Access. Grief-stricken By Trevor's Death And Horrified By Her New Surroundings, Luce Is Also Plagued By Sinister, Terrifying Shadows That Appear Wherever She Goes. The Remote Gothic Setting Provides The Standard Backdrop For The Crux Of The Story, First In A Planned Series&mdash;the Romantic Feelings Luce Develops For The Elusive, Unpredictable, And Rather Unlikable Daniel. Aside From The Evil Shadows, The Plot Can Be Summed Up With A Single Word&#58; Pining. Luce Longs For Daniel In Various Ways&mdash;dreaming Of Him, Digging Up Information, Trying To Talk To Him, Experiencing Rejection, Then Trying Again. Some Readers Will Pine Right Alongside Luce, But Others May Feel That Kate Spends Too Much Time On Unrequited Love And Too Little On Forward Movement In Luce's Relationship With Daniel And The Mystery Of What, Exactly, Daniel Is. Ages 12&ndash;up. (dec.)</p>"
5,GUINNESS WORLD RECORDS 2010,['Guinness World Records'],9781904994503,"<p>Guinness World Records 2010 continues to build on the intriguing, informative, inspiring and instructional records and superlatives that have made Guinness World Records one of the most famous brands and an annual best-seller around the world. Over 100 million copies have sold since the first edition was published in 1955. Nearly 4 million copies are sold every year in more than 100 countries and in 25 languages.</p>
<p>What's new in GWR10?...</p>
<p>- Free downloadable content, including videos, photographs, screensavers and interviews<br>
- 100% new photographs and fully updated records<br>
- Brilliant new ""steampunk"" graphic novel design<br>
- New sections and record threads celebrating the first decade of the 21st century<br>
- Top 50 Records of the Decade<br>
- Record of the Day - one for every day of the year<br>
- Unbreakable Records (those that will seemingly never be broken)<br>
- Lasts (records such as the last living survivor of the Titanic disaster, or the last known dodo)<br>
- The Name's Bond (celebrating the James Bond phenomenon)<br>
- Culture Shock (unusual rituals and festivals around the globe)<br>
- Gold (the commodity that never loses its luster)<br>
- Updated gazetteer sections covering records in all major regions of the world<br>
- Fully updated regular sections, including Space, Planet Earth, The Animal Planet, The Body, Human Achievements, Engineering and Technology, The Modern World, Arts and the Media and, of course, Sports.</p>"
6,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","['Child, Julia', 'Beck, Simone', 'Bertholle, Louisette']",9780394721781,"<p><P>The only cookbook that explains how to create authentic French dishes in American kitchens with American foods. Teaches the key techniques of French cooking, permitting many variations on a theme. Over 100 instructive drawings.</p>"
7,THE PIONEER WOMAN COOKS,"['Drummond, Ree']",9780061658198,"<blockquote>
<p>My name is Ree.</p>
<p>Some folks know me as The Pioneer Woman.</p>
</blockquote>
<p>After years of living in Los Angeles, I made a pit stop in my hometown in Oklahoma on the way to a new, exciting life in Chicago. It was during my stay at home that I met Marlboro Man, a mysterious cowboy with steely blue eyes and a muscular, work-honed body. A strict vegetarian, I fell hard and fast, and before I knew it we were married and living on his ranch in the middle of nowhere, taking care of animals, and managing a brood of four young children. I had no idea how I'd wound up there, but I knew it was exactly where I belonged.</p>
<p><b>The Pioneer Woman Cooks</b> is a homespun collection of photography, rural stories, and scrumptious recipes that have defined my experience in the country. I share many of the delicious cowboy-tested recipes I've learned to make during my years as an accidental ranch wife—including Rib-Eye Steak with Whiskey Cream Sauce, Lasagna, Fried Chicken, Patsy's Blackberry Cobbler, and Cinnamon Rolls—not to mention several ""cowgirl-friendly"" dishes, such as Sherried Tomato Soup, Olive Cheese Bread, and Crème Brûlée. I show my recipes in full color, step-by-step detail, so it's as easy as pie to follow along.</p>
<p>You'll also find colorful images of rural life: cows, horses, country kids, and plenty of chaps-wearing cowboys.</p>
<p>I hope you get a kick out of this book of mine. I hope it makes you smile. I hope the recipes bring you recognition, accolades, and marriage proposals. And I hope it encourages even the most harried urban cook to slow down, relish the joys of family, nature, and great food, and enjoy life.</p>"
8,4-HOUR WORKWEEK,"['Yearwood, Trisha']",9780307381378,"<p>She's adored by fans as one of country music's top stars, but among family and friends, Trisha Yearwood is best known for another talent: cooking.<br><br> Throughout her life -- from her humble roots in Georgia to her triumphant recording years in Nashville and a fulfilling married life with husband Garth Brooks in Oklahoma -- Trisha has always enjoyed feeding those she loves. Now she dishes up a collection of more than 120 of her go-to recipes in a tribute to both home-grown cooking and family traditions. <br><br> Trisha believes a recipe always tastes better when it has a memory attached to it. Here, she teams up with her mother and sister to share their family s best-loved recipes. This is the kind of classic comfort food you ll want at the heart of your own family s mealtime memories. Inside is a full menu of Southern fare with a contemporary twist. But you don t have to be a Southerner to enjoy Yearwood family favorites such as: <ul><li>Trisha s Chicken Tortilla Soup <li>Gwen s Fried Chicken with Milk Gravy <li>Stuffed Pork Chops <li>Breakfast Sausage Casserole <li>Blackberry Cobbler <li>Banana Pudding</ul> Along with the recipes for inviting soups, textural salads, home-style family entrées, colorful side dishes, and irresistible desserts, Trisha shares everything from charming personal anecdotes to practical advice, time-saving tips, and creative ingredient substitutions to accommodate all tastes. <br><br> With full-color photographs taken in and around Trisha s homes and a foreword by Garth Brooks, this soul-warming slice of Southern life will delight country music fans and home cooks alike. Best of all, this is un-pretentious food that is easy to put together, satisfies even big country appetites, and tastes like home. Trisha s warm evocations of preparing food for loved ones will transport you back to your own childhood. These are recipes you ll enjoy with your family for years to come.<br><br> <b>About the Author</b><br> TRISHA YEARWOOD started off her recording career as a receptionist at MTM Records and has since had nine number one songs, ten albums, four Gold Record winners, four Platinum Awards, a Double Platinum seller, and a Quadruple Platinum blockbuster. She won back-to-back Country Music Awards as Female Vocalist of the Year in 1997 and 1998 and has been honored with three Grammy Awards. In 2005, Trisha married superstar Garth Brooks, and they currently reside in Oklahoma.</p> <h3>Publishers Weekly</h3> <p><P>Grammy Award-winning country singer Trisha Yearwood throws her hat into the celebrity cookbook ring with this cheerful if uninspired collection of home-style Southern recipes. Among family and friends, Yearwood is known for her cooking, she writes, and a foreword by her husband and fellow singer, Garth Brooks, explains that Yearwood's secret is that she cooks with love, a technique not fully explored in this book. Aimed at the kitchen beginner, the book presents a list of necessary equipment and hints on substitutions, like making confectioner's sugar from granulated sugar, and is sprinkled throughout with helpful notes from Yearwood and her mother and sister-both of whom are co-writers. International stardom clearly hasn't dampened Yearwood's enthusiasm for down-home treats like Pimento Cheese Spread, Hashbrown Casserole, and Cranberry Salad with Cool Whip, Cream Cheese and Gelatin. Her family members make frequent appearances in the many color photographs and in the form of favorite dishes like Jack's Brunswick Stew and Gwen's Fried Chicken with Milk Gravy. Yearwood is an advocate for no-fuss, simple cooking with plenty of supermarket shortcuts, and this volume will most appeal to fans who want to get a little closer to Yearwood and Brooks (like a chance to recreate the celebs' wedding cake at home). <I>(Apr.)</I></P>Copyright 2007 Reed Business Information</p>"
9,IT'S YOUR TIME,"['Osteen, Joel']",9781439100110,"<p><P><b><b><P> #1 <i>New York Times</i> bestselling author Joel Osteen offers the inspirational truth that now is the time to activate your faith and accomplish your God-given dreams. You are closer than you think! </b></b> <i><P> Get your hopes up. Raise your expectations. Your best days are in front of you. In challenging times, it may be hard to see better days ahead. You may feel as though your struggles will never end. Yet, this is exactly the moment to put your faith into action and expect God's blessings. It's your time to declare your faith, to look for God's favor, and find fulfillment in His plans for you! </i> <P> Drawing from Joel's experiences and those of people around the world, It's Your Time offers messages of faith, hope, and strength to help you rise above any circumstance so that you can fulfill God's best plan for your life. <P> <b><i>It's Your Time</i> to believe</b> that God has solutions even before you have problems. <P> <b><i>It's Your Time</i> for favor,</b> so understand that no matter where you stand in life, you never stand alone. <P> <b><i>It's Your Time</i> for restoration,</b> so know that you will emerge from hard times with all you need to soar higher than ever before. <P> <b><i>It's Your Time</i> to trust </b>and give your life over to God so that He can light the way for you. <P> <b><i>It's Your Time</i> to stretch</b> and strengthen your faith. <P> Joel has filled this book with bold new prayers, inspiring stories and practical tools for moving forward in faith. In it you will find proven methods for not just picking up the pieces but for building a new life better than you'd imagined. The hopeful messages and warm encouragements in this book will push you to expand your horizons beyond what you thought you were capable of doing so that you might go even farther than you'd ever dreamed of going. <b><b><i><P> It's Your Time! </i></b></b></p>"
